date,ARI,COL,LAD,SD,SF
2022-04-07,1.0,0.0,0.0,0.0,0.0
2022-04-08,1.0,0.0,1.0,1.0,1.0
2022-04-09,1.0,1.0,1.0,2.0,1.0
2022-04-10,1.0,2.0,1.0,3.0,2.0
2022-04-11,1.0,3.0,1.0,4.0,2.0
2022-04-12,1.0,4.0,2.0,4.0,3.0
2022-04-13,2.0,4.0,3.0,4.0,4.0
2022-04-14,2.0,4.0,4.0,5.0,4.0
2022-04-15,2.0,5.0,5.0,5.0,5.0
2022-04-16,3.0,6.0,6.0,5.0,6.0
2022-04-17,3.0,6.0,7.0,6.0,7.0
2022-04-18,3.0,7.0,8.0,7.0,7.0
2022-04-19,3.0,8.0,8.0,8.0,7.0
2022-04-20,4.0,8.0,9.0,9.0,8.0
2022-04-21,5.0,8.0,9.0,9.0,8.0
2022-04-22,5.0,8.0,10.0,9.0,9.0
2022-04-23,6.0,8.5,10.0,10.0,10.0
2022-04-24,6.0,10.0,11.0,10.0,11.0
2022-04-25,6.0,10.0,12.0,10.0,12.0
2022-04-26,7.0,10.0,12.0,11.0,13.0
2022-04-27,8.0,10.0,12.0,12.0,13.0
2022-04-28,8.0,10.0,12.0,13.0,13.0
2022-04-29,9.0,11.0,13.0,14.0,13.0
2022-04-30,10.0,12.0,13.0,14.0,14.0
2022-05-01,10.0,13.0,14.0,15.0,14.0
2022-05-02,11.0,13.0,14.0,15.0,14.0
2022-05-03,12.0,13.0,15.0,15.0,14.0
2022-05-04,13.0,14.0,16.0,16.0,14.0
2022-05-05,13.0,15.0,16.0,17.0,14.0
2022-05-06,14.0,15.0,16.0,18.0,14.0
2022-05-07,14.0,16.0,17.5,18.0,15.0
2022-05-08,15.0,16.0,19.0,19.0,16.0
2022-05-09,16.0,16.0,19.0,19.0,17.0
2022-05-10,17.0,16.0,20.0,20.0,18.0
2022-05-11,17.0,16.0,20.0,20.0,19.0
2022-05-12,17.0,16.0,20.0,20.0,19.0
2022-05-13,18.0,16.0,20.0,21.0,20.0
2022-05-14,18.0,17.0,20.0,21.0,20.0
2022-05-15,18.0,17.0,21.0,22.0,20.0
2022-05-16,18.0,17.0,22.0,22.0,21.0
2022-05-17,18.0,17.0,23.5,23.0,22.0
2022-05-18,18.0,18.0,25.0,23.0,22.0
2022-05-19,19.0,18.0,25.0,24.0,22.0
2022-05-20,20.0,18.0,26.0,25.0,22.0
2022-05-21,21.0,18.5,27.0,26.0,22.0
2022-05-22,21.0,19.0,27.0,27.0,22.0
2022-05-23,22.0,19.0,28.0,28.0,22.0
2022-05-24,23.0,20.0,29.0,28.0,23.0
2022-05-25,23.0,20.0,29.0,28.0,24.0
2022-05-26,23.0,20.0,30.0,28.0,24.0
2022-05-27,23.0,20.0,31.0,29.0,24.0
2022-05-28,23.0,20.5,32.0,29.0,24.0
2022-05-29,23.0,21.0,33.0,30.0,25.0
2022-05-30,24.0,22.0,33.0,30.0,26.0
2022-05-31,25.0,22.0,33.0,30.0,27.0
2022-06-01,25.0,22.5,33.0,30.0,27.0
2022-06-02,25.0,23.0,34.0,30.0,27.0
2022-06-03,26.0,23.0,35.0,31.0,28.0
2022-06-04,26.0,23.0,35.0,32.0,28.0
2022-06-05,26.0,23.0,35.0,33.0,29.0
2022-06-06,26.0,23.0,35.0,33.0,29.0
2022-06-07,26.0,24.0,35.0,34.0,29.0
2022-06-08,27.0,24.0,36.0,35.0,30.0
2022-06-09,28.0,25.0,37.0,35.0,30.0
2022-06-10,28.0,25.0,37.0,36.0,31.0
2022-06-11,28.0,25.5,37.0,37.0,32.0
2022-06-12,29.0,27.0,37.0,37.0,33.0
2022-06-13,29.0,27.0,37.0,38.0,34.0
2022-06-14,29.0,27.0,38.0,39.0,35.0
2022-06-15,30.0,27.0,39.0,40.0,35.0
2022-06-16,30.0,27.0,39.0,41.0,35.0
2022-06-17,31.0,28.0,39.0,41.0,36.0
2022-06-18,31.0,29.0,40.0,41.0,37.0
2022-06-19,32.0,30.0,40.0,41.0,37.0
2022-06-20,32.0,30.0,40.0,42.0,37.0
2022-06-21,32.0,30.0,41.0,43.0,38.0
2022-06-22,32.0,30.0,42.0,44.0,38.0
2022-06-23,32.0,30.0,43.0,44.0,38.0
2022-06-24,32.0,31.0,44.0,45.0,38.0
2022-06-25,32.0,31.0,44.0,45.0,39.0
2022-06-26,33.0,31.0,45.0,45.0,39.0
2022-06-27,33.0,32.0,45.0,45.0,39.0
2022-06-28,34.0,33.0,45.0,45.0,40.0
2022-06-29,34.0,33.0,46.0,46.0,40.0
2022-06-30,34.0,33.0,47.0,46.0,40.0
2022-07-01,35.0,33.0,48.0,46.0,40.0
2022-07-02,35.0,34.0,49.0,46.0,40.0
2022-07-03,35.0,35.0,49.0,47.0,40.0
2022-07-04,36.0,35.0,50.0,47.0,40.0
2022-07-05,37.0,35.0,51.0,47.0,40.0
2022-07-06,37.0,35.0,52.0,47.0,41.0
2022-07-07,37.0,36.0,53.0,48.0,41.0
2022-07-08,37.0,37.0,54.0,49.0,41.0
2022-07-09,38.0,37.0,55.0,49.0,42.0
2022-07-10,38.0,38.0,56.0,49.0,43.0
2022-07-11,39.0,38.0,56.0,50.0,43.0
2022-07-12,39.0,39.0,56.0,50.0,44.0
2022-07-13,39.0,40.0,57.0,50.0,45.0
2022-07-14,39.0,41.0,58.0,50.0,45.0
2022-07-15,39.0,42.0,59.0,51.0,46.0
2022-07-16,39.0,43.0,60.0,52.0,47.0
2022-07-17,40.0,43.0,60.0,52.0,48.0
2022-07-21,40.0,43.0,61.0,52.0,48.0
2022-07-22,41.0,43.0,62.0,53.0,48.0
2022-07-23,42.0,43.0,63.0,54.0,48.0
2022-07-24,42.0,43.0,64.0,54.0,48.0
2022-07-25,43.0,44.0,64.0,54.0,48.0
2022-07-26,44.0,44.0,64.0,55.0,48.0
2022-07-27,45.0,45.0,65.0,55.0,48.0
2022-07-28,45.0,45.0,66.0,55.0,49.0
2022-07-29,45.0,45.0,67.0,56.0,49.0
2022-07-30,45.0,46.0,67.0,56.0,50.0
2022-07-31,45.0,46.0,68.0,57.0,51.0
2022-08-01,45.0,46.0,69.0,58.0,51.0
2022-08-02,46.0,46.0,70.0,59.5,51.0
2022-08-03,46.0,46.0,71.0,61.0,51.0
2022-08-04,46.0,47.0,72.0,61.0,51.0
2022-08-05,47.0,47.0,73.0,61.0,51.0
2022-08-06,47.0,48.0,74.0,61.0,52.0
2022-08-07,48.0,48.0,75.0,61.0,53.0
2022-08-08,49.0,48.0,75.0,61.0,54.0
2022-08-09,50.0,49.0,76.0,62.0,54.0
2022-08-10,50.0,49.0,77.0,63.0,54.0
2022-08-11,51.0,50.0,77.0,63.0,54.0
2022-08-12,51.0,51.0,78.0,64.0,55.0
2022-08-13,52.0,51.0,79.0,64.0,56.0
2022-08-14,53.0,51.0,79.0,65.0,57.0
2022-08-15,53.0,51.0,80.0,65.0,58.0
2022-08-16,53.0,51.0,80.0,65.0,59.0
2022-08-17,54.0,51.0,81.0,66.0,59.0
2022-08-18,55.0,51.0,81.0,66.0,59.0
2022-08-19,55.0,52.0,82.0,66.0,59.0
2022-08-20,55.0,53.0,83.0,67.0,59.0
2022-08-21,55.0,53.0,84.0,68.0,60.0
2022-08-22,55.0,53.0,84.0,68.0,60.0
2022-08-23,56.0,54.0,85.0,68.0,61.0
2022-08-24,56.0,54.0,86.0,68.0,61.0
2022-08-25,56.0,54.0,86.0,68.0,61.0
2022-08-26,57.0,54.0,87.0,69.0,61.0
2022-08-27,58.0,54.0,87.0,70.0,61.0
2022-08-28,59.0,55.0,88.0,70.0,61.0
2022-08-29,60.0,55.0,89.0,71.0,61.0
2022-08-30,61.0,56.0,90.0,72.0,61.0
2022-08-31,61.0,56.0,90.0,73.0,61.0
2022-09-01,62.0,56.0,90.0,73.0,61.0
2022-09-02,63.0,56.0,90.0,74.0,62.0
2022-09-03,63.0,56.0,91.0,74.0,63.0
2022-09-04,64.0,57.0,92.0,74.0,64.0
2022-09-05,65.0,57.0,92.0,74.0,65.0
2022-09-06,65.0,58.0,93.0,75.0,65.0
2022-09-07,65.0,59.0,94.0,76.0,65.0
2022-09-08,65.0,59.0,94.0,76.0,65.0
2022-09-09,65.0,60.0,94.0,77.0,65.0
2022-09-10,65.0,61.0,95.0,77.0,66.0
2022-09-11,66.0,61.0,96.0,77.0,67.0
2022-09-12,66.0,61.0,97.0,77.0,68.0
2022-09-13,66.0,61.0,98.0,78.0,68.0
